Applicant_ID,Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Annual_Income,Credit_Score,Existing_Loans,Loan_Amount,Loan_Term_Months,Loan_Purpose,Collateral_Value,City,Loan_to_Income_Ratio,Debt_to_Income_Ratio,Late_Payments_Count,Default_History,Loan_Status
A0074,35,Female,Single,2,Graduate,Salaried,1448749,696,3,1394832,60,Personal,683775,Indore,0.96,0.32,2,No,Rejected
A0075,21,Female,Single,1,Highschool,Retired,701946,693,0,1070055,60,Business,936827,Delhi,1.52,0.3,5,Yes,Rejected
A0076,45,Male,Married,0,Graduate,Salaried,876337,374,3,1423995,180,Education,1232862,Indore,1.62,0.31,5,Yes,Rejected
A0077,27,Male,Married,0,Graduate,Self-employed,1466302,781,2,639203,48,Home,280141,Lucknow,0.44,0.19,1,No,Approved
A0078,29,Female,Married,1,Highschool,Salaried,1074609,402,1,1411629,48,Education,1169842,Lucknow,1.31,0.38,1,No,Rejected
A0079,44,Male,Married,0,Postgraduate,Salaried,292172,596,0,1000542,120,Personal,974507,Jaipur,3.42,0.34,4,Yes,Rejected
A0080,21,Female,Married,2,Highschool,Salaried,870990,477,1,1214484,24,Business,1052255,Indore,1.39,0.77,5,Yes,Rejected
A0081,28,Male,Married,2,Graduate,Salaried,744344,514,2,1275913,48,Education,488241,Indore,1.71,0.59,0,No,Rejected
A0082,44,Male,Married,0,Graduate,Salaried,1387030,614,2,134112,36,Business,1613172,Bhopal,0.1,0.12,1,No,Rejected
A0083,31,Male,Single,2,Highschool,Salaried,1304315,338,0,829411,36,Home,1254672,Jaipur,0.64,0.21,2,No,Rejected
A0084,37,Male,Single,3,Highschool,Salaried,248639,558,2,1151007,24,Medical,695202,Jaipur,4.63,2.8,3,Yes,Rejected
A0085,28,Female,Single,0,Graduate,Salaried,653054,306,1,1235166,12,Home,982912,Mumbai,1.89,1.98,4,Yes,Rejected
A0086,55,Female,Single,1,Postgraduate,Retired,639257,348,0,948607,180,Medical,987036,Pune,1.48,0.1,1,No,Rejected
A0087,55,Female,Married,3,Highschool,Retired,987424,837,3,394768,12,Vehicle,447154,Jaipur,0.4,0.58,3,Yes,Rejected
A0088,53,Male,Divorced,0,Graduate,Salaried,796682,460,0,1355769,36,Medical,529983,Jaipur,1.7,0.57,3,Yes,Rejected
A0089,25,Female,Single,1,Graduate,Self-employed,529801,475,1,161264,48,Vehicle,226812,Chennai,0.3,0.19,1,No,Rejected
A0090,59,Female,Single,2,Postgraduate,Salaried,1013592,890,0,1000198,24,Education,582787,Kolkata,0.99,0.49,0,No,Rejected
A0091,48,Female,Married,1,Graduate,Self-employed,382447,301,0,787318,12,Vehicle,23382,Kolkata,2.06,2.06,0,No,Rejected
A0092,27,Male,Divorced,3,Graduate,Self-employed,548586,754,1,462355,12,Business,1849243,Ahmedabad,0.84,0.95,4,Yes,Rejected
A0093,29,Male,Single,2,Graduate,Retired,874932,575,0,743790,240,Vehicle,717583,Indore,0.85,0.04,0,No,Rejected
A0094,28,Male,Married,0,Graduate,Salaried,580069,797,0,543148,180,Business,1706302,Delhi,0.94,0.06,4,Yes,Rejected
A0095,32,Female,Single,2,Postgraduate,Self-employed,204136,327,1,1378971,60,Medical,1207115,Indore,6.76,1.64,2,No,Rejected
A0096,54,Female,Single,0,Highschool,Salaried,261868,632,2,1454945,36,Medical,452532,Mumbai,5.56,2.31,1,No,Rejected
A0097,53,Female,Widowed,0,Graduate,Retired,544407,300,1,756763,48,Medical,1423188,Mumbai,1.39,0.46,3,Yes,Rejected
A0098,43,Male,Widowed,1,Postgraduate,Salaried,1018599,487,0,1100850,24,Vehicle,1055340,Mumbai,1.08,0.54,4,Yes,Rejected
A0099,44,Male,Single,1,Postgraduate,Salaried,310957,355,3,1354039,12,Medical,746256,Pune,4.35,4.93,0,No,Rejected
A0100,57,Female,Widowed,1,Postgraduate,Self-employed,739767,846,3,1318284,180,Vehicle,1686695,Delhi,1.78,0.36,4,Yes,Rejected
A0101,55,Male,Married,3,Graduate,Self-employed,319392,411,1,897271,60,Vehicle,61836,Kolkata,2.81,0.75,5,Yes,Rejected
A0102,42,Male,Married,3,Graduate,Salaried,860183,609,3,1083050,36,Personal,1342643,Bhopal,1.26,0.63,4,Yes,Rejected
A0103,47,Male,Married,1,Graduate,Retired,980516,335,0,1327477,36,Personal,1303609,Kolkata,1.35,0.45,0,No,Rejected
A0104,55,Male,Married,3,Graduate,Salaried,1450104,738,0,1288878,180,Vehicle,1930719,Pune,0.89,0.06,5,Yes,Rejected
A0105,21,Female,Married,2,Highschool,Salaried,1006017,891,1,594523,240,Business,16292,Mumbai,0.59,0.09,5,Yes,Rejected
A0106,55,Male,Married,2,Graduate,Salaried,1483423,894,0,325864,24,Education,911345,Pune,0.22,0.11,0,No,Approved
A0107,57,Male,Single,3,Graduate,Salaried,1061501,876,2,722207,12,Home,1967694,Kolkata,0.68,0.79,5,Yes,Rejected
A0108,34,Male,Single,3,Highschool,Salaried,465864,624,0,1450683,24,Personal,1331659,Bhopal,3.11,1.56,1,No,Rejected
A0109,23,Male,Single,2,Graduate,Salaried,481411,606,1,811232,180,Vehicle,1292348,Ahmedabad,1.69,0.24,3,Yes,Rejected
A0110,21,Female,Married,0,Graduate,Salaried,1395344,833,2,742064,180,Home,1067376,Delhi,0.53,0.12,1,No,Approved
A0111,25,Female,Single,2,Postgraduate,Salaried,885328,408,2,965630,24,Personal,56440,Pune,1.09,0.68,1,No,Rejected
A0112,46,Male,Married,2,Highschool,Salaried,515508,671,3,1293387,120,Education,416462,Kolkata,2.51,0.6,0,No,Rejected
A0113,34,Male,Widowed,3,Highschool,Self-employed,616561,656,0,230697,60,Business,651809,Delhi,0.37,0.07,0,No,Rejected
A0114,59,Male,Single,2,Graduate,Self-employed,251567,480,1,949726,36,Vehicle,446021,Kolkata,3.78,1.5,3,Yes,Rejected
A0115,47,Male,Married,3,Highschool,Salaried,291229,655,3,1328004,120,Education,1047568,Kolkata,4.56,1.07,4,Yes,Rejected
A0116,29,Male,Married,3,Graduate,Salaried,1179111,367,3,626077,48,Personal,1694191,Bhopal,0.53,0.29,1,No,Rejected
A0117,35,Male,Married,1,Graduate,Salaried,1447892,591,0,975729,36,Vehicle,1622512,Ahmedabad,0.67,0.22,5,Yes,Rejected
A0118,35,Female,Single,2,Highschool,Salaried,1064950,480,0,1409989,36,Home,1950200,Delhi,1.32,0.44,3,Yes,Rejected
A0119,46,Male,Married,0,Graduate,Self-employed,807132,765,1,268678,60,Medical,450067,Mumbai,0.33,0.14,1,No,Approved
A0120,33,Female,Married,1,Graduate,Salaried,1412567,733,3,531856,48,Business,1997768,Delhi,0.38,0.22,4,Yes,Rejected
A0121,52,Female,Divorced,3,Graduate,Salaried,839888,763,1,1185643,12,Personal,355642,Jaipur,1.41,1.48,5,Yes,Rejected
A0122,59,Male,Married,3,Postgraduate,Salaried,824913,833,3,1075924,48,Business,816196,Mumbai,1.3,0.54,1,No,Rejected
A0123,52,Female,Married,0,Postgraduate,Salaried,1117999,365,3,903789,12,Vehicle,1867478,Delhi,0.81,0.97,2,No,Rejected
A0124,24,Female,Married,3,Graduate,Self-employed,1031187,320,3,270923,240,Medical,1829024,Chennai,0.26,0.19,3,Yes,Rejected
A0125,50,Female,Married,2,Graduate,Retired,1281900,683,0,400406,240,Education,169573,Chennai,0.31,0.02,0,No,Rejected
A0126,57,Female,Married,1,Graduate,Salaried,1065361,858,3,617961,48,Business,1105783,Kolkata,0.58,0.31,1,No,Approved
A0127,43,Female,Single,3,Postgraduate,Salaried,594768,338,3,1356501,24,Home,1110733,Mumbai,2.28,1.44,5,Yes,Rejected
A0128,59,Female,Divorced,3,Graduate,Self-employed,251272,584,3,1135598,180,Personal,1182864,Delhi,4.52,1.02,5,Yes,Rejected
A0129,35,Male,Married,0,Graduate,Retired,629069,896,2,514750,48,Home,1726008,Kolkata,0.82,0.4,3,Yes,Rejected
A0130,49,Female,Married,2,Postgraduate,Salaried,449264,635,0,977702,120,Business,1142354,Indore,2.18,0.22,3,Yes,Rejected
A0131,56,Female,Single,3,Highschool,Salaried,888284,487,2,263944,120,Medical,130016,Kolkata,0.3,0.16,5,Yes,Rejected
A0132,33,Female,Married,0,Postgraduate,Salaried,436538,542,0,598953,60,Education,1697152,Pune,1.37,0.27,5,Yes,Rejected
A0133,52,Male,Single,3,Highschool,Salaried,778963,372,1,1025193,180,Education,168204,Chennai,1.32,0.16,5,Yes,Rejected
A0134,27,Female,Married,0,Graduate,Salaried,715447,778,2,693391,180,Home,1159149,Indore,0.97,0.23,1,No,Rejected
A0135,42,Male,Single,0,Graduate,Salaried,1322167,860,1,972700,12,Vehicle,120730,Lucknow,0.74,0.78,5,Yes,Rejected
A0136,48,Female,Married,2,Postgraduate,Salaried,353706,400,3,609085,36,Vehicle,1983941,Pune,1.72,1.08,0,No,Rejected
A0137,22,Male,Widowed,3,Postgraduate,Salaried,1443400,813,1,661700,60,Medical,1112762,Mumbai,0.46,0.13,5,Yes,Rejected
A0138,26,Male,Single,2,Graduate,Self-employed,539148,475,1,1458454,120,Education,505349,Kolkata,2.71,0.38,0,No,Rejected
A0139,48,Female,Widowed,0,Graduate,Salaried,1173902,537,1,602850,120,Home,1839968,Chennai,0.51,0.1,1,No,Rejected
A0140,48,Female,Married,1,Graduate,Salaried,953818,358,1,1498513,240,Home,18781,Ahmedabad,1.57,0.14,3,Yes,Rejected
A0141,40,Male,Married,3,Postgraduate,Salaried,1027150,398,0,1170804,12,Home,1286253,Chennai,1.14,1.14,0,No,Rejected
A0142,50,Female,Married,1,Graduate,Salaried,1362203,794,2,220627,120,Business,257506,Bhopal,0.16,0.1,1,No,Approved
A0143,31,Male,Married,3,Graduate,Retired,489014,813,0,440068,120,Medical,1079702,Chennai,0.9,0.09,5,Yes,Rejected
A0144,48,Male,Married,2,Highschool,Salaried,1285970,596,0,106475,12,Vehicle,1286793,Ahmedabad,0.08,0.08,1,No,Rejected
A0145,45,Male,Married,2,Graduate,Salaried,1038489,510,0,852451,120,Vehicle,415794,Ahmedabad,0.82,0.08,5,Yes,Rejected
A0146,59,Male,Married,2,Graduate,Self-employed,1328371,422,1,1101198,36,Business,1564050,Kolkata,0.83,0.32,1,No,Rejected
A0147,53,Male,Single,2,Graduate,Salaried,542553,528,0,341382,24,Personal,1941042,Mumbai,0.63,0.31,3,Yes,Rejected
A0148,21,Female,Married,2,Highschool,Retired,242137,893,2,915977,60,Business,280027,Ahmedabad,3.78,1.25,0,No,Rejected
A0149,47,Male,Married,1,Postgraduate,Salaried,338925,687,0,616187,36,Medical,554070,Chennai,1.82,0.61,3,Yes,Rejected
A0150,33,Male,Married,2,Highschool,Salaried,736667,439,3,1116254,36,Home,1367107,Mumbai,1.52,0.75,2,No,Rejected
A0151,23,Female,Married,0,Graduate,Salaried,1133296,840,1,824135,24,Business,1720915,Delhi,0.73,0.42,5,Yes,Rejected
A0152,59,Male,Married,0,Postgraduate,Salaried,321169,690,3,530037,240,Home,820178,Chennai,1.65,0.64,0,No,Rejected
A0153,26,Female,Married,1,Graduate,Self-employed,1418015,569,2,392759,180,Medical,261161,Jaipur,0.28,0.1,3,Yes,Rejected
A0154,28,Female,Single,3,Highschool,Self-employed,1397748,311,2,363389,60,Medical,66266,Kolkata,0.26,0.14,0,No,Rejected
A0155,47,Female,Married,0,Graduate,Salaried,575233,688,2,217408,240,Education,524344,Pune,0.38,0.23,2,No,Rejected
A0156,29,Male,Single,3,Postgraduate,Salaried,1180960,636,2,736431,240,Home,1342177,Kolkata,0.62,0.13,4,Yes,Rejected
A0157,57,Male,Single,1,Graduate,Self-employed,663120,805,0,1438352,36,Vehicle,1444035,Ahmedabad,2.17,0.72,5,Yes,Rejected
A0158,53,Male,Single,3,Postgraduate,Retired,1034123,405,1,899288,120,Business,1496823,Lucknow,0.87,0.14,5,Yes,Rejected
A0159,44,Female,Single,3,Highschool,Salaried,1416688,331,2,1336541,240,Medical,1181349,Bhopal,0.94,0.13,1,No,Rejected
A0160,35,Male,Married,3,Graduate,Salaried,973815,373,3,1380874,24,Home,1760317,Jaipur,1.42,0.89,5,Yes,Rejected
A0161,52,Female,Single,3,Graduate,Salaried,424062,470,2,1353405,180,Personal,1754374,Ahmedabad,3.19,0.5,5,Yes,Rejected
A0162,52,Male,Married,1,Postgraduate,Self-employed,257986,368,1,417798,60,Education,335983,Chennai,1.62,0.56,3,Yes,Rejected
A0163,44,Female,Single,0,Highschool,Salaried,631978,661,3,1351222,48,Personal,1129212,Mumbai,2.14,0.82,5,Yes,Rejected
A0164,32,Male,Single,2,Postgraduate,Salaried,1353891,732,3,590783,12,Medical,369841,Jaipur,0.44,0.57,5,Yes,Rejected
A0165,59,Male,Single,3,Graduate,Self-employed,519348,399,3,941813,120,Personal,1115059,Lucknow,1.81,0.53,2,No,Rejected
A0166,22,Male,Single,0,Graduate,Salaried,902214,308,0,1207177,24,Personal,1069081,Pune,1.34,0.67,2,No,Rejected
A0167,23,Female,Married,0,Highschool,Salaried,895139,873,2,1294730,12,Education,399769,Mumbai,1.45,1.58,0,No,Rejected
A0168,57,Female,Married,1,Postgraduate,Salaried,425687,328,0,770008,180,Education,557813,Bhopal,1.81,0.12,0,No,Rejected
A0169,37,Male,Married,0,Highschool,Salaried,1042549,413,3,886796,180,Education,1260050,Indore,0.85,0.23,5,Yes,Rejected
A0170,22,Male,Married,1,Graduate,Salaried,345213,761,0,1314216,48,Education,1144584,Bhopal,3.81,0.95,5,Yes,Rejected
A0171,22,Female,Single,3,Highschool,Salaried,864704,442,0,1097150,240,Personal,1092924,Kolkata,1.27,0.06,1,No,Rejected
A0172,48,Female,Married,3,Postgraduate,Salaried,215896,689,0,564710,36,Vehicle,726547,Jaipur,2.62,0.87,0,No,Rejected
A0173,43,Female,Married,2,Graduate,Salaried,289353,456,2,1418156,36,Vehicle,269417,Kolkata,4.9,2.05,3,Yes,Rejected
A0174,57,Male,Married,2,Graduate,Self-employed,229813,634,3,1497433,60,Education,1374956,Ahmedabad,6.52,2.09,5,Yes,Rejected
A0175,52,Female,Single,2,Highschool,Self-employed,1314255,559,3,1173120,24,Business,730929,Delhi,0.89,0.58,3,Yes,Rejected
A0176,53,Male,Single,0,Graduate,Salaried,866041,381,2,1211871,24,Home,134607,Ahmedabad,1.4,0.84,5,Yes,Rejected
A0177,21,Female,Single,3,Graduate,Salaried,409755,740,0,821075,240,Medical,1984757,Pune,2.0,0.1,3,Yes,Rejected
A0178,39,Male,Single,1,Postgraduate,Salaried,473541,471,0,169409,180,Business,1786960,Jaipur,0.36,0.02,4,Yes,Rejected
A0179,22,Female,Married,2,Postgraduate,Salaried,555398,530,1,1100610,60,Medical,1155733,Delhi,1.98,0.5,3,Yes,Rejected
A0180,46,Female,Married,1,Highschool,Salaried,1427562,374,1,621998,240,Business,1573772,Mumbai,0.44,0.06,0,No,Rejected
A0181,52,Female,Married,1,Graduate,Self-employed,415705,569,1,475903,12,Business,1300875,Delhi,1.14,1.29,5,Yes,Rejected
A0182,26,Female,Married,2,Highschool,Salaried,1241741,361,2,1427877,36,Vehicle,1249801,Pune,1.15,0.48,0,No,Rejected
A0183,52,Female,Married,3,Graduate,Salaried,515929,619,3,1325213,36,Home,1156928,Chennai,2.57,1.21,3,Yes,Rejected
A0184,24,Male,Married,2,Highschool,Salaried,252344,401,1,825356,180,Business,1144543,Kolkata,3.27,0.46,2,No,Rejected
A0185,31,Female,Widowed,1,Graduate,Self-employed,970348,728,3,690176,24,Education,351133,Lucknow,0.71,0.54,2,No,Rejected
A0186,37,Female,Single,2,Graduate,Salaried,675859,554,3,287167,180,Medical,1607943,Ahmedabad,0.42,0.29,2,No,Rejected
A0187,58,Female,Single,1,Graduate,Salaried,1106814,831,3,104507,240,Vehicle,212628,Jaipur,0.09,0.17,5,Yes,Rejected
A0188,44,Male,Single,1,Graduate,Salaried,923906,869,2,1192564,24,Medical,111889,Pune,1.29,0.78,1,No,Rejected
A0189,25,Female,Married,2,Graduate,Self-employed,658819,411,2,460565,60,Education,262063,Indore,0.7,0.32,4,Yes,Rejected
A0190,54,Male,Married,0,Graduate,Self-employed,1408060,612,2,772225,240,Education,311467,Lucknow,0.55,0.11,3,Yes,Rejected
A0191,26,Female,Single,2,Highschool,Salaried,1359065,760,2,127213,48,Business,962824,Pune,0.09,0.11,1,No,Approved
A0192,42,Female,Divorced,0,Graduate,Salaried,644874,761,1,1073458,12,Education,1009602,Indore,1.66,1.76,2,No,Rejected
A0193,31,Male,Single,1,Highschool,Salaried,211549,391,0,1206026,120,Home,352053,Indore,5.7,0.57,3,Yes,Rejected
A0194,36,Female,Divorced,1,Graduate,Salaried,225739,351,0,497693,48,Education,1094681,Indore,2.2,0.55,1,No,Rejected
A0195,53,Male,Single,0,Graduate,Self-employed,1007641,819,0,618728,240,Business,1471956,Chennai,0.61,0.03,0,No,Approved
A0196,29,Male,Single,1,Graduate,Self-employed,831339,397,1,1161331,48,Medical,132957,Delhi,1.4,0.42,2,No,Rejected
A0197,26,Female,Married,0,Highschool,Self-employed,1263692,535,0,1290821,24,Education,975323,Bhopal,1.02,0.51,1,No,Rejected
A0198,36,Male,Single,0,Graduate,Self-employed,744333,673,1,1338553,24,Vehicle,1049,Ahmedabad,1.8,0.98,5,Yes,Rejected
A0199,49,Female,Single,1,Postgraduate,Salaried,1143831,880,1,1317745,24,Vehicle,577569,Indore,1.15,0.63,0,No,Rejected
